temperature,humidity,solar_intensity,fan_speed,heater_status,batch_weight,initial_moisture,elapsed_time,temperature_change,humidity_change,remaining_time,drying_stage
34.5,75.2,1.0,40,1,2.2,28.857378719690367,0,-0.16,0.21,215,INITIAL
39.3,73.7,31.0,51,1,2.2,28.857378719690367,5,4.79,-1.99,210,INITIAL
43.5,71.2,100.0,60,1,2.2,28.857378719690367,10,4.53,-2.52,205,ACTIVE_DRYING
47.6,69.9,108.0,85,1,2.2,28.857378719690367,15,3.75,-0.79,200,ACTIVE_DRYING
52.2,68.1,192.0,87,1,2.2,28.857378719690367,20,4.12,-0.46,195,ACTIVE_DRYING
49.9,66.0,263.0,84,0,2.2,28.857378719690367,25,-2.45,-1.28,190,ACTIVE_DRYING
49.0,64.6,271.0,87,0,2.2,28.857378719690367,30,-0.53,-0.67,185,ACTIVE_DRYING
48.7,62.8,321.0,71,0,2.2,28.857378719690367,35,-0.29,-1.8,180,ACTIVE_DRYING
48.9,61.8,396.0,70,0,2.2,28.857378719690367,40,-0.03,-0.06,175,ACTIVE_DRYING
48.7,61.0,488.0,72,0,2.2,28.857378719690367,45,0.08,-1.58,170,ACTIVE_DRYING
48.7,58.6,521.0,68,0,2.2,28.857378719690367,50,0.26,-1.79,165,ACTIVE_DRYING
49.9,57.4,551.0,71,0,2.2,28.857378719690367,55,1.39,-0.9,160,ACTIVE_DRYING
50.7,57.2,617.0,68,0,2.2,28.857378719690367,60,1.27,-0.98,155,ACTIVE_DRYING
51.6,54.3,596.0,72,0,2.2,28.857378719690367,65,0.81,-3.08,150,ACTIVE_DRYING
53.1,52.3,633.0,70,0,2.2,28.857378719690367,70,1.31,-0.92,145,ACTIVE_DRYING
53.8,51.8,700.0,71,0,2.2,28.857378719690367,75,1.0,-0.99,140,ACTIVE_DRYING
55.2,51.0,724.0,68,0,2.2,28.857378719690367,80,1.46,-1.86,135,ACTIVE_DRYING
55.6,49.5,705.0,72,0,2.2,28.857378719690367,85,1.21,-1.63,130,ACTIVE_DRYING
57.5,49.5,743.0,68,0,2.2,28.857378719690367,90,1.89,-1.29,125,ACTIVE_DRYING
57.9,47.1,689.0,68,0,2.2,28.857378719690367,95,0.54,-3.1,120,ACTIVE_DRYING
57.7,46.7,726.0,71,0,2.2,28.857378719690367,100,0.14,-1.0,115,ACTIVE_DRYING
58.0,45.1,774.0,68,0,2.2,28.857378719690367,105,0.13,-2.18,110,ACTIVE_DRYING
58.4,44.5,759.0,55,0,2.2,28.857378719690367,110,0.04,-1.15,105,ACTIVE_DRYING
57.4,44.1,725.0,54,0,2.2,28.857378719690367,115,-0.28,-0.33,100,ACTIVE_DRYING
58.3,42.4,772.0,53,0,2.2,28.857378719690367,120,0.86,-1.24,95,STABILIZING
58.4,41.3,708.0,57,0,2.2,28.857378719690367,125,-0.28,-1.4,90,STABILIZING
57.9,39.9,715.0,53,0,2.2,28.857378719690367,130,-0.23,-1.74,85,STABILIZING
57.4,38.6,697.0,53,0,2.2,28.857378719690367,135,0.38,-1.45,80,STABILIZING
58.4,37.7,579.0,53,0,2.2,28.857378719690367,140,0.84,-0.78,75,STABILIZING
58.0,36.7,605.0,57,0,2.2,28.857378719690367,145,-0.35,-1.06,70,STABILIZING
58.3,36.1,640.0,54,0,2.2,28.857378719690367,150,-0.21,-0.28,65,STABILIZING
58.0,35.4,586.0,57,0,2.2,28.857378719690367,155,-0.11,-0.66,60,NEAR_COMPLETE
58.0,34.3,529.0,57,0,2.2,28.857378719690367,160,0.02,-1.39,55,NEAR_COMPLETE
58.2,34.0,498.0,54,0,2.2,28.857378719690367,165,-0.33,-0.27,50,NEAR_COMPLETE
57.5,33.4,424.0,57,0,2.2,28.857378719690367,170,-0.57,-0.58,45,NEAR_COMPLETE
57.6,32.8,439.0,54,0,2.2,28.857378719690367,175,0.0,-0.54,40,NEAR_COMPLETE
58.3,31.4,378.0,55,0,2.2,28.857378719690367,180,0.52,-1.65,35,NEAR_COMPLETE
57.5,29.7,290.0,53,0,2.2,28.857378719690367,185,-0.72,-1.38,30,NEAR_COMPLETE
56.9,28.5,327.0,54,0,2.2,28.857378719690367,190,-0.41,-0.77,25,NEAR_COMPLETE
56.2,27.9,206.0,57,0,2.2,28.857378719690367,195,-0.45,-0.73,20,COMPLETE
55.4,27.7,229.0,53,0,2.2,28.857378719690367,200,-0.95,-0.4,15,COMPLETE
54.5,25.9,153.0,53,0,2.2,28.857378719690367,205,-0.76,-0.8,10,COMPLETE
53.1,26.4,85.0,53,0,2.2,28.857378719690367,210,-1.24,0.9,5,COMPLETE
51.5,25.4,0.0,53,0,2.2,28.857378719690367,215,-1.74,-0.4,0,COMPLETE
35.9,73.3,0.0,41,1,1.7,32.567590137552806,0,0.0,-0.04,353,INITIAL
39.8,71.7,66.0,52,1,1.7,32.567590137552806,5,4.85,-1.26,348,INITIAL
44.3,69.6,83.0,62,1,1.7,32.567590137552806,10,4.92,-1.04,343,ACTIVE_DRYING
